meross/sample_timestamp,meross/power,meross/current,meross/voltage
22:26.6,3.019,0.047,236.8
22:27.4,3.019,0.047,236.8
22:28.2,3.019,0.045,236.8
22:29.0,3.019,0.045,236.8
22:30.0,3.019,0.045,236.8
22:31.6,3,0.042,236.8
22:32.3,3,0.041,236.8
22:33.1,3,0.041,236.8
22:33.9,3,0.041,236.8
22:35.6,3,0.045,236.8
22:36.4,3,0.045,236.8
22:37.2,2.981,0.044,236.8
22:38.0,2.981,0.044,236.8
22:38.9,2.981,0.044,236.8
22:39.7,2.981,0.045,236.8
22:41.5,2.981,0.044,236.8
22:42.3,2.981,0.044,236.8
22:43.2,2.981,0.044,236.8
22:44.0,2.943,0.051,236.8
22:45.4,2.943,0.051,236.8
22:46.3,2.943,0.051,236.8
22:47.1,2.943,0.051,236.8
22:47.9,2.943,0.047,236.8
22:49.5,2.943,0.047,236.8
22:50.3,2.943,0.042,236.8
22:51.2,2.943,0.042,236.8
22:52.0,2.943,0.05,236.8
22:52.9,2.943,0.05,236.8
22:54.4,2.943,0.044,236.8
22:55.2,2.943,0.044,236.8
22:56.1,2.943,0.044,236.8
22:56.9,2.943,0.045,236.8
22:58.5,2.962,0.041,236.8
22:59.3,2.962,0.041,236.8
23:00.1,2.962,0.041,236.8
23:01.6,2.962,0.044,236.8
23:02.5,2.962,0.044,236.8
23:03.3,2.962,0.045,236.8
23:04.2,3,0.045,236.8
23:05.0,3,0.045,236.8
23:06.5,3,0.046,236.8
23:07.3,3,0.051,236.8
23:08.2,3,0.051,236.8
23:09.0,3,0.051,236.8
23:10.6,3,0.05,236.8
23:11.5,3,0.044,236.8
23:12.3,3,0.044,236.8
23:13.2,3,0.044,236.8
23:14.0,3,0.046,236.8
23:15.6,3,0.046,236.8
23:16.5,3,0.043,236.8
23:17.3,3,0.043,236.8
23:18.1,2.943,0.047,236.8
23:18.9,2.943,0.047,236.8
23:20.5,2.943,0.045,236.8
23:21.4,2.943,0.045,236.8
23:22.2,2.943,0.05,236.8
23:23.0,2.943,0.05,236.8
23:23.9,2.943,0.05,236.8
23:25.6,2.905,0.045,236.8
23:26.4,2.905,0.046,236.8
23:27.3,2.905,0.046,236.8
23:28.1,2.905,0.046,236.8
23:29.6,2.905,0.051,236.8
23:30.4,2.905,0.049,236.8
23:31.2,2.905,0.049,236.8
23:31.9,2.943,0.049,236.8
23:33.5,2.943,0.042,236.8
23:34.4,2.943,0.042,236.8
23:35.2,2.943,0.047,236.8
23:36.1,2.943,0.047,236.8
23:37.0,2.943,0.047,236.8
23:38.6,3.038,0.041,236.8
23:39.4,3.038,0.044,236.8
23:40.2,3.038,0.044,236.8
23:40.9,3.038,0.044,236.8
23:42.6,3.038,0.043,236.8
23:43.4,3.038,0.043,236.8
23:44.2,3.038,0.044,236.8
23:44.2,3.038,0.044,236.8
23:44.2,3.038,0.044,236.8
23:44.2,3.038,0.044,236.8
